idTweet,hashtag,hashtagBrut,indiceStart,indiceEnd
6.7869E+17,socionoel,SocioNoel,6,16
6.78691E+17,socionoel,SocioNoel,0,10
6.78691E+17,socionoel,SocioNoel,0,10
6.78684E+17,socionoel,SocioNoel,0,10
6.78684E+17,day19,Day19,11,17
6.78682E+17,socionoel,SocioNoel,0,10
6.78682E+17,day20,Day20,11,17
6.78663E+17,socionoel,SocioNoël,0,10
6.78659E+17,socionoel,SocioNoël,106,116
6.78641E+17,socionoel,SocioNoel,129,139
6.78637E+17,socionoel,SocioNoel,0,10
6.78626E+17,socionoel,SocioNoel,0,10
6.786E+17,socionoel,SocioNoël,74,84
6.78592E+17,socionoel,SocioNoel,0,10
6.78592E+17,histonoel,HistoNoel,11,21
6.78585E+17,socionoel,SocioNoel,0,10
6.78583E+17,socionoel,SocioNoel,0,10
6.78583E+17,day20,Day20,11,17
6.78571E+17,socionoel,SocioNoel,55,65
6.78567E+17,socionoel,SocioNoël,0,10
6.78567E+17,econoel,EcoNoël,13,21
6.78562E+17,socionoel,SocioNoel,17,27
6.78535E+17,socionoel,SocioNoel,21,31
6.78532E+17,socionoel,SocioNoel,0,10
6.78531E+17,socionoel,SocioNoel,0,10
6.78531E+17,management,management,48,59
6.78517E+17,socionoel,SocioNoel,14,24
6.78517E+17,socionoel,SocioNoel,0,10
6.78488E+17,socionoel,SocioNoel,0,10
6.78487E+17,socionoel,SocioNoel,0,10
6.78942E+17,socionoel,SocioNoel,0,10
6.78942E+17,day21,Day21,11,17
6.78932E+17,socionoel,SocioNoel,0,10
6.78881E+17,podemos,Podemos,3,11
6.78908E+17,socionoel,SocioNoel,32,42
6.78315E+17,socionoel,SocioNoel,0,10
6.78315E+17,science,science,29,37
6.78315E+17,sociologie,sociologie,67,78
6.78285E+17,socionoel,SocioNoel,102,112
